framed,round_nr,PU,QL
0,1,0.807692308,0.115384615
0,2,0.653846154,0.134615385
0,3,0.576923077,0.179487179
0,4,0.567307692,0.173076923
0,5,0.538461538,0.2
0,6,0.532051282,0.211538462
0,7,0.527472527,0.203296703
0,8,0.504807692,0.1875
0,9,0.487179487,0.192307692
0,10,0.484615385,0.188461538
0,11,0.479020979,0.195804196
0,12,0.487179487,0.192307692
0,13,0.476331361,0.186390533
0,14,0.461538462,0.186813187
0,15,0.451282051,0.184615385
0,16,0.447115385,0.180288462
0,17,0.443438914,0.169683258
0,18,0.44017094,0.164529915
0,19,0.435222672,0.16194332
0,20,0.430769231,0.163461538
0,21,0.428571429,0.164835165
0,22,0.43006993,0.160839161
0,23,0.429765886,0.158862876
0,24,0.432692308,0.155448718
0,25,0.429230769,0.149230769
0,26,0.426035503,0.144970414
0,27,0.421652422,0.145299145
0,28,0.417582418,0.144230769
0,29,0.413793103,0.144562334
0,30,0.411538462,0.144871795
0,31,0.41191067,0.141439206
0,32,0.407451923,0.138221154
0,33,0.403263403,0.134032634
0,34,0.397058824,0.132352941
0,35,0.392307692,0.131868132
0,36,0.389957265,0.131410256
0,37,0.388773389,0.128898129
0,38,0.384615385,0.12854251
0,39,0.383629191,0.129191321
0,40,0.384615385,0.126923077
0,41,0.383677298,0.125703565
0,42,0.381868132,0.123626374
0,43,0.382826476,0.121645796
0,44,0.383741259,0.122377622
0,45,0.382905983,0.123076923
0,46,0.383779264,0.122073579
0,47,0.382160393,0.119476268
0,48,0.380608974,0.116987179
0,49,0.375981162,0.115384615
0,50,0.373076923,0.115384615
0,51,0.370286576,0.114630468
0,52,0.36760355,0.11464497
0,53,0.365021771,0.113933237
0,54,0.363247863,0.113247863
0,55,0.361538462,0.113286713
0,56,0.359203297,0.113324176
0,57,0.356950067,0.113360324
0,58,0.355437666,0.113395225
0,59,0.353976532,0.112777053
0,60,0.355128205,0.111538462
0,61,0.353089533,0.111601513
0,62,0.352977667,0.111042184
0,63,0.351648352,0.10989011
0,64,0.349759615,0.108774038
0,65,0.347928994,0.107692308
0,66,0.346153846,0.107226107
0,67,0.345005741,0.10619977
0,68,0.342760181,0.106334842
0,69,0.341137124,0.105908584
0,70,0.340659341,0.108241758
1,1,0.625,0.125
1,2,0.666666667,0.1875
1,3,0.611111111,0.194444444
1,4,0.604166667,0.177083333
1,5,0.558333333,0.191666667
1,6,0.541666667,0.215277778
1,7,0.547619048,0.220238095
1,8,0.536458333,0.21875
1,9,0.523148148,0.217592593
1,10,0.520833333,0.2125
1,11,0.515151515,0.215909091
1,12,0.520833333,0.222222222
1,13,0.519230769,0.217948718
1,14,0.511904762,0.205357143
1,15,0.497222222,0.208333333
1,16,0.494791667,0.208333333
1,17,0.49754902,0.200980392
1,18,0.49537037,0.196759259
1,19,0.495614035,0.190789474
1,20,0.491666667,0.1875
1,21,0.494047619,0.180555556
1,22,0.492424242,0.176136364
1,23,0.489130435,0.173913043
1,24,0.486111111,0.171875
1,25,0.485,0.168333333
1,26,0.487179487,0.168269231
1,27,0.486111111,0.171296296
1,28,0.485119048,0.171130952
1,29,0.487068966,0.166666667
1,30,0.488888889,0.165277778
1,31,0.48655914,0.162634409
1,32,0.485677083,0.162760417
1,33,0.482323232,0.162878788
1,34,0.479166667,0.161764706
1,35,0.478571429,0.160714286
1,36,0.474537037,0.158564815
1,37,0.475225225,0.161036036
1,38,0.475877193,0.164473684
1,39,0.479700855,0.163461538
1,40,0.48125,0.159375
1,41,0.480691057,0.156504065
1,42,0.479166667,0.154761905
1,43,0.476744186,0.153100775
1,44,0.476325758,0.150568182
1,45,0.477777778,0.149074074
1,46,0.476449275,0.148550725
1,47,0.476950355,0.14893617
1,48,0.4765625,0.1484375
1,49,0.477040816,0.146258503
1,50,0.475,0.145
1,51,0.475490196,0.144607843
1,52,0.473557692,0.144230769
1,53,0.47327044,0.143081761
1,54,0.472993827,0.143518519
1,55,0.471212121,0.143181818
1,56,0.470238095,0.142857143
1,57,0.468567251,0.144736842
1,58,0.468390805,0.144396552
1,59,0.468220339,0.143361582
1,60,0.468055556,0.14375
1,61,0.467213115,0.142759563
1,62,0.467741935,0.140456989
1,63,0.467592593,0.14021164
1,64,0.466145833,0.139322917
1,65,0.46474359,0.137820513
1,66,0.463383838,0.136994949
1,67,0.461442786,0.137437811
1,68,0.460784314,0.136029412
1,69,0.460144928,0.135869565
1,70,0.460714286,0.135714286
