id_in_session_p1,id_in_session_p2,participant_code_p1,participant_code_p2,total_payoff_p1,total_payoff_p2,payoff_round_p1,payoff_round_p2,examiner_decision,student_decision,Cell,p1s1,p1s2,p2s1,p2s2,pf_diff_p1_val,pf_diff_p2_val,pf_diff_p1_abs,pf_diff_p2_abs,pf_diff_p1_s,pf_diff_p2_s,game_id,round_number,framing
1,2,265l99ai,2fsj9qvt,14,14,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,265l99ai2fsj9qvt,1,1
3,4,7xjh9hwo,e8jis7nf,11,10,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,7xjh9hwoe8jis7nf,1,1
5,6,zo9j0hsi,iyu7t1vc,14,14,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,zo9j0hsiiyu7t1vc,1,1
7,8,3fmd8mik,qkypffhk,14,14,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,3fmd8mikqkypffhk,1,1
9,10,r3oyr52t,3u51j68w,14,14,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,r3oyr52t3u51j68w,1,1
11,12,xtfge1ys,i2nn9ow6,12,2,12,2,Control,Cheat,1,1,0,1,0,10,-10,0.769230769,1,-0.769230769,1,xtfge1ysi2nn9ow6,1,1
13,14,uwz2vbjr,b7ctrqau,14,14,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,uwz2vbjrb7ctrqau,1,1
15,16,ipmny9rq,i18sqw1f,14,14,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ipmny9rqi18sqw1f,1,1
17,18,ouaa8yuq,qxal8ioj,11,10,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,ouaa8yuqqxal8ioj,1,1
19,20,oy8wn5im,y9iygxxf,14,14,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,oy8wn5imy9iygxxf,1,1
21,22,9smjkz19,6ub1usmw,14,14,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,9smjkz196ub1usmw,1,1
23,24,0bmasffv,6zqxv643,11,10,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,0bmasffv6zqxv643,1,1
25,26,sj2ft9f6,6fsse8c1,11,10,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,sj2ft9f66fsse8c1,1,1
27,28,rj5j60np,i7rlg7cc,11,10,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,rj5j60npi7rlg7cc,1,1
1,2,265l99ai,2fsj9qvt,28,28,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,265l99ai2fsj9qvt,2,1
3,4,7xjh9hwo,e8jis7nf,22,20,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,7xjh9hwoe8jis7nf,2,1
5,6,zo9j0hsi,iyu7t1vc,28,28,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,zo9j0hsiiyu7t1vc,2,1
7,8,3fmd8mik,qkypffhk,28,28,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,3fmd8mikqkypffhk,2,1
9,10,r3oyr52t,3u51j68w,17,30,3,16,Don't Control,Cheat,3,0,1,1,0,-13,13,1,1.3,1,-1.3,r3oyr52t3u51j68w,2,1
11,12,xtfge1ys,i2nn9ow6,24,4,12,2,Control,Cheat,1,1,0,1,0,10,-10,0.769230769,1,-0.769230769,1,xtfge1ysi2nn9ow6,2,1
13,14,uwz2vbjr,b7ctrqau,25,24,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,uwz2vbjrb7ctrqau,2,1
15,16,ipmny9rq,i18sqw1f,25,24,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,ipmny9rqi18sqw1f,2,1
17,18,ouaa8yuq,qxal8ioj,23,12,12,2,Control,Cheat,1,1,0,1,0,10,-10,0.769230769,1,-0.769230769,1,ouaa8yuqqxal8ioj,2,1
19,20,oy8wn5im,y9iygxxf,25,24,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,oy8wn5imy9iygxxf,2,1
21,22,9smjkz19,6ub1usmw,28,28,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,9smjkz196ub1usmw,2,1
23,24,0bmasffv,6zqxv643,22,20,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,0bmasffv6zqxv643,2,1
25,26,sj2ft9f6,6fsse8c1,23,12,12,2,Control,Cheat,1,1,0,1,0,10,-10,0.769230769,1,-0.769230769,1,sj2ft9f66fsse8c1,2,1
27,28,rj5j60np,i7rlg7cc,22,20,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,rj5j60npi7rlg7cc,2,1
1,2,265l99ai,2fsj9qvt,42,42,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,265l99ai2fsj9qvt,3,1
3,4,7xjh9hwo,e8jis7nf,33,30,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,7xjh9hwoe8jis7nf,3,1
5,6,zo9j0hsi,iyu7t1vc,42,42,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,zo9j0hsiiyu7t1vc,3,1
7,8,3fmd8mik,qkypffhk,42,42,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,3fmd8mikqkypffhk,3,1
9,10,r3oyr52t,3u51j68w,31,44,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,r3oyr52t3u51j68w,3,1
11,12,xtfge1ys,i2nn9ow6,36,6,12,2,Control,Cheat,1,1,0,1,0,10,-10,0.769230769,1,-0.769230769,1,xtfge1ysi2nn9ow6,3,1
