,lambda,p1_s1,p1_s2,p2_s1,p2_s2
0,0.0,0.3306980012926809,0.6693019550322518,0.19567640511922957,0.8043235332858598
1,0.001,0.5007477438361779,0.49925225616382213,0.4992481312071295,0.5007518687928705
2,0.002,0.5014909508798124,0.4985090491201876,0.49849254981300484,0.5015074501869952
3,0.003,0.5022295848647816,0.4977704151352184,0.4977332936420143,0.5022667063579856
4,0.004,0.502963610105204,0.49703638989479604,0.4969704009758616,0.5030295990241384
5,0.005,0.5036929915017277,0.4963070084982722,0.49620391054576257,0.5037960894542375
6,0.006,0.5044176945476153,0.49558230545238463,0.49543386152446733,0.5045661384755327
7,0.007,0.5051376853346045,0.49486231466539554,0.49466029351812624,0.5053397064818739
8,0.008,0.5058529293427928,0.49414707065720714,0.49388324788616417,0.5061167521138358
9,0.009000000000000001,0.5065633973695914,0.49343660263040845,0.49310276126350955,0.5068972387364904
10,0.01,0.5072690541534679,0.49273094584653204,0.49231887797629975,0.5076811220237002
11,0.011,0.5079698689843275,0.49203013101567256,0.49153163846612624,0.5084683615338736
12,0.012,0.5086658111814654,0.4913341888185347,0.49074108420752893,0.5092589157924711
13,0.013000000000000001,0.509356850537886,0.4906431494621139,0.48994725722800153,0.5100527427719983
14,0.014,0.5100429574797338,0.4899570425202662,0.48915019992746567,0.5108498000725343
15,0.015,0.5107241030703171,0.4892758969296829,0.4883499550690381,0.5116500449309619
16,0.016,0.5114002590138986,0.48859974098610137,0.4875465657696839,0.5124534342303161
17,0.017,0.5120713976592355,0.4879286023407645,0.48674007549077414,0.513259924509226
18,0.018000000000000002,0.5127374920029746,0.4872625079970255,0.48593052802842857,0.5140694719715715
19,0.019,0.5133985148280102,0.48660148517198976,0.4851179685728704,0.5148820314271296
20,0.02,0.5140544430293154,0.48594555697068464,0.48430243835433573,0.5156975616456643
21,0.021,0.5147052489707972,0.48529475102920283,0.48348398532162223,0.5165160146783777
22,0.022,0.515350909133565,0.4846490908664351,0.48266265344357157,0.5173373465564284
23,0.023,0.5159913997947875,0.4840086002052125,0.48183848804376533,0.5181615119562346
24,0.024,0.5166266978945561,0.48337330210544394,0.48101153472111036,0.5189884652788896
25,0.025,0.517256781037453,0.48274321896254707,0.4801818393398036,0.5198181606601964
26,0.026000000000000002,0.5178816274939952,0.48211837250600476,0.47934944801909657,0.5206505519809034
27,0.027,0.5185012162018477,0.4814987837981523,0.4785144071230008,0.5214855928769992
28,0.028,0.5191155267668048,0.4808844732331951,0.47767676324993885,0.5223232367500612
29,0.029,0.5197245394635525,0.48027546053644754,0.4768365632223359,0.5231634367776641
30,0.03,0.5203282352361596,0.47967176476384044,0.475993854076226,0.524006145923774
31,0.031,0.5209265951972409,0.479073404802759,0.4751486837628219,0.5248513162371781
32,0.032,0.5215196031337912,0.47848039686620875,0.47430109757768046,0.5256989024223195
33,0.033,0.5221072404959637,0.4778927595040363,0.47345114527017607,0.5265488547298239
34,0.034,0.5226894914071649,0.477310508592835,0.47259887391381,0.52740112608619
35,0.035,0.5232663401586218,0.4767336598413781,0.4717443314546617,0.5282556685453382
36,0.036000000000000004,0.5238377717094976,0.47616222829050237,0.47088756598907217,0.5291124340109279
37,0.037,0.5244037716858858,0.4755962283141142,0.47002862575304116,0.5299713742469588
38,0.038,0.5249643263795941,0.47503567362040594,0.46916755911162494,0.530832440888375
39,0.039,0.5255194227467204,0.47448057725327963,0.46830441454833716,0.5316955854516628
40,0.04,0.5260690484060244,0.4739309515939755,0.46743924065456055,0.5325607593454396
41,0.041,0.5266131916370976,0.47338680836290237,0.46657208611897344,0.5334279138810265
42,0.042,0.5271518413783505,0.47284815862164953,0.4657029997169684,0.5342970002830315
43,0.043000000000000003,0.5276849872247091,0.4723150127752908,0.4648320303002526,0.5351679696997474
44,0.044,0.5282126189452547,0.4717873810547453,0.4639592275852708,0.5360407724147292
45,0.045,0.5287347288806062,0.47126527111939376,0.46308463814771306,0.536915361852287
46,0.046,0.5292513071409154,0.47074869285908466,0.46220831340084695,0.537791686599153
47,0.047,0.5297623464009527,0.47023765359904734,0.461330301598312,0.538669698401688
48,0.048,0.5302678394986274,0.46973216050137256,0.4604506518160363,0.5395493481839636
49,0.049,0.5307677799112116,0.46923222008878845,0.459569413143692,0.540430586856308
50,0.05,0.531262161751842,0.46873783824815796,0.4586866346744684,0.5413133653255315
51,0.051000000000000004,0.5317509797658568,0.4682490202341431,0.45780236549490644,0.5421976345050936
52,0.052000000000000005,0.5322342293269663,0.4677657706730336,0.45691665467480097,0.543083345325199
53,0.053,0.5327119064332638,0.4672880935667361,0.45602955125717515,0.5439704487428247
54,0.054,0.5331840077030796,0.46681599229692045,0.4551411042483319,0.5448588957516681
55,0.055,0.5336505303706823,0.46634946962931767,0.4542513626079842,0.5457486373920158
56,0.056,0.5341114722818574,0.4658885277181427,0.45336037523942296,0.546639624760577
57,0.057,0.5345668318892058,0.4654331681107942,0.45246819098003216,0.5475318090199678
58,0.058,0.5350166067966748,0.46498339320332516,0.4515748614929158,0.5484251385070842
59,0.059000000000000004,0.535460801008466,0.46453919899153395,0.4506804267511266,0.5493195732488735
60,0.06,0.5358994104180534,0.4641005895819466,0.4497849440375804,0.5502150559624196
61,0.061,0.5363324373070428,0.46366756269295717,0.4488884589304226,0.5511115410695774
62,0.062,0.5367598830889174,0.4632401169110825,0.44799101979453027,0.5520089802054697
63,0.063,0.5371817497538264,0.46281825024617373,0.4470926748723395,0.5529073251276604
64,0.064,0.5375980398630459,0.4624019601369541,0.4461934722749607,0.5538065277250392
65,0.065,0.5380087565433818,0.4619912434566183,0.44529345997330333,0.5547065400266966
66,0.066,0.5384139034814626,0.46158609651853744,0.4443926857893206,0.5556073142106794
67,0.067,0.5388134849179305,0.46118651508206954,0.44349119738737564,0.5565088026126244
68,0.068,0.5392075056415313,0.4607924943584687,0.44258904226573426,0.5574109577342656
69,0.069,0.53959597098311,0.46040402901689004,0.44168626774818437,0.5583137322518156
70,0.07,0.5399788868095146,0.46002111319048544,0.4407829209757861,0.5592170790242139
71,0.07100000000000001,0.5403562595174137,0.4596437404825863,0.43987904889875273,0.5601209511012472
72,0.07200000000000001,0.5407280960270651,0.45927190397293494,0.4389746982683851,0.5610253017316149
73,0.073,0.541094403775818,0.45890559622418203,0.4380699156295981,0.5619300843704018
74,0.074,0.54145519071196,0.45854480928804003,0.4371647473125662,0.5628352526874338
75,0.075,0.5418104652870049,0.4581895347129951,0.4362592394282675,0.5637407605717325
76,0.076,0.5421602364537462,0.4578397635462538,0.4353534378492485,0.5646465621507515
77,0.077,0.5425045136524552,0.4574954863475447,0.4344473882206613,0.5655526117793387
78,0.078,0.5428433068088162,0.45715669319118374,0.433541135941458,0.566458864058542
79,0.079,0.5431766263264733,0.4568233736735267,0.4326347261591789,0.5673652738408211
80,0.08,0.543504483080076,0.4564955169199239,0.431728203763536,0.5682717962364641
81,0.081,0.5438268884084474,0.45617311159155255,0.43082161337971303,0.5691783866202871
82,0.082,0.5441438541077079,0.4558561458922921,0.42991499936181476,0.5700850006381852
83,0.083,0.5444553924243594,0.4555446075756407,0.42900840578647,0.57099159421353
84,0.084,0.5447615160483326,0.45523848395166744,0.4281018764465884,0.5718981235534115
85,0.085,0.5450622381060013,0.4549377618939987,0.4271954548452725,0.5728045451547275
86,0.08600000000000001,0.5453575721531669,0.4546424278468331,0.4262891841898844,0.5737108158101156
87,0.08700000000000001,0.5456475321680181,0.4543524678319819,0.4253831073862683,0.5746168926137317
88,0.088,0.5459321325440678,0.45406786745593225,0.42447726703312905,0.575522732966871
89,0.089,0.5462113880830715,0.4537886119169286,0.4235717054165662,0.5764282945834338
90,0.09,0.5464853139879636,0.4535146860120364,0.4226664645046527,0.5773335354953474
91,0.091,0.5467539258555942,0.4532460741444058,0.42176158594279856,0.5782384140572014
92,0.092,0.5470172396698875,0.45298276033011253,0.4208571110478326,0.5791428889521675
93,0.093,0.5472752717930149,0.4527247282069851,0.4199530808091379,0.580046919190862
