participant_id_in_session,participant_code,participant_time_started,player_id,player_total_payoff,player_tax_office_decision,player_company_decision,p1s1,p2s1,s1,s2,group_id_in_subsession,round_number,session_code,framed,dataset,game_id,p1s1_cumulative,p2s1_cumulative,gender,p1_payoff,p2_payoff,degree_str,degree,Age,age_str,nationality,s1_cumulative,s1_freq,Framing,treatment
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,14,Don't Control,,0,0,0,1,1,1,7igvdhlu,1,15,151,0,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,0,0,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,14,,Don't Cheat,0,0,0,1,1,1,7igvdhlu,1,15,151,0,0,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,0,0,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,28,Don't Control,,0,0,0,1,1,2,7igvdhlu,1,15,151,0,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,0,0,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,28,,Don't Cheat,0,0,0,1,1,2,7igvdhlu,1,15,151,0,0,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,0,0,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,42,Don't Control,,0,0,0,1,1,3,7igvdhlu,1,15,151,0,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,0,0,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,42,,Don't Cheat,0,0,0,1,1,3,7igvdhlu,1,15,151,0,0,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,0,0,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,56,Don't Control,,0,0,0,1,1,4,7igvdhlu,1,15,151,0,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,0,0,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,56,,Don't Cheat,0,0,0,1,1,4,7igvdhlu,1,15,151,0,0,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,0,0,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,70,Don't Control,,0,0,0,1,1,5,7igvdhlu,1,15,151,0,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,0,0,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,70,,Don't Cheat,0,0,0,1,1,5,7igvdhlu,1,15,151,0,0,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,0,0,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,73,Don't Control,,0,0,0,1,1,6,7igvdhlu,1,15,151,0,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,0,0,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,86,,Cheat,0,1,1,0,1,6,7igvdhlu,1,15,151,0,1,1,0,16,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.166666667,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,84,Control,,1,0,1,0,1,7,7igvdhlu,1,15,151,1,0,2,11,0,International Taxation and Law,23,2,18-24,Germany,1,0.142857143,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,96,,Don't Cheat,0,0,0,1,1,7,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.142857143,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,98,Don't Control,,0,0,0,1,1,8,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.125,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,110,,Don't Cheat,0,0,0,1,1,8,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.125,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,112,Don't Control,,0,0,0,1,1,9,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.111111111,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,124,,Don't Cheat,0,0,0,1,1,9,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.111111111,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,126,Don't Control,,0,0,0,1,1,10,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.1,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,138,,Don't Cheat,0,0,0,1,1,10,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.1,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,140,Don't Control,,0,0,0,1,1,11,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.090909091,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,152,,Don't Cheat,0,0,0,1,1,11,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.090909091,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,154,Don't Control,,0,0,0,1,1,12,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.083333333,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,166,,Don't Cheat,0,0,0,1,1,12,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.083333333,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,168,Don't Control,,0,0,0,1,1,13,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.076923077,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,180,,Don't Cheat,0,0,0,1,1,13,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.076923077,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,182,Don't Control,,0,0,0,1,1,14,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.071428571,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,194,,Don't Cheat,0,0,0,1,1,14,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.071428571,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,196,Don't Control,,0,0,0,1,1,15,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.066666667,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,208,,Don't Cheat,0,0,0,1,1,15,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.066666667,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,210,Don't Control,,0,0,0,1,1,16,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.0625,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,222,,Don't Cheat,0,0,0,1,1,16,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.0625,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,224,Don't Control,,0,0,0,1,1,17,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.058823529,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,236,,Don't Cheat,0,0,0,1,1,17,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.058823529,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,238,Don't Control,,0,0,0,1,1,18,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.055555556,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,250,,Don't Cheat,0,0,0,1,1,18,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.055555556,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,252,Don't Control,,0,0,0,1,1,19,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.052631579,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,264,,Don't Cheat,0,0,0,1,1,19,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.052631579,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,266,Don't Control,,0,0,0,1,1,20,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.05,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,278,,Don't Cheat,0,0,0,1,1,20,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.05,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,280,Don't Control,,0,0,0,1,1,21,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.047619048,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,292,,Don't Cheat,0,0,0,1,1,21,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.047619048,1,framed
