Sample Size N,PU,QL,Q,Hue
1,0.5,0.5,0.366397938,Framed
2,0.4751,0.2755,0.140524,Framed
3,0.5329,0.2241,0.114117535,Framed
4,0.4739,0.2553,0.120310457,Framed
5,0.4143,0.2703,0.142364323,Framed
6,0.4234,0.2322,0.103449741,Framed
7,0.4311,0.2029,0.073422926,Framed
8,0.3958,0.2275,0.112421003,Framed
9,0.3762,0.2391,0.13353378,Framed
10,0.3772,0.2181,0.117311729,Framed
11,0.3821,0.2027,0.103282582,Framed
12,0.3596,0.2205,0.131957251,Framed
1,0.5,0.5,0.42292312,Unframed
2,0.4751,0.2755,0.214591729,Unframed
3,0.5329,0.2241,0.224454012,Unframed
4,0.4739,0.2553,0.19844193,Unframed
5,0.4143,0.2703,0.178005113,Unframed
6,0.4234,0.2322,0.149035776,Unframed
7,0.4311,0.2029,0.13091866,Unframed
8,0.3958,0.2275,0.131388814,Unframed
9,0.3762,0.2391,0.135598739,Unframed
10,0.3772,0.2181,0.115775874,Unframed
11,0.3821,0.2027,0.103148862,Unframed
12,0.3596,0.2205,0.113844901,Unframed
