DF_split,Shape,Equilibria,PU,PL
obs_framed,Obs_framed,Obs_framed,0.461,0.136
obs_unframed,Obs_unframed,Obs_unframed,0.341,0.108
nash,Nash,NE,0.2,0.25
nashIA_uf,Nash,"NE_IA α=0.127, β=0 (uf)",0.179484878,0.21976412
nashIA_fr,Nash,"NE_IA α=0, β=0 (fr)",0.2,0.25
ib_theory,IB,IB_theory,0.473610907,0.137021066
IB_fr,IB,IB_mod  λ=1.9 (fr),0.457385,0.135021
IB_uf,IB,IB_mod  λ=2.7 (uf),0.455095,0.099801
IB_IA_uf,IB,"IB_modIA α=1, β=0.991 (uf)",0.373819721,0.164626247
IB_IA_fr,IB,"IB_modIA α=0.768, β=0.172 (fr)",0.460736261,0.135680447
IB_IA_fixedp_uf,IB,"IB_modIAFP α=0.707, β=1, λ=2 ",0.348104098,0.115344793
IB_IA_fixedp_fr,IB,"IB_modIAFP α=0, β=0, λ=2 ",0.457001411,0.129315864
IB2t_IA_uf,IB,"IB_modIA α=0.069, β=0.578, λ=3.7 (uf)",0.34065727,0.108223197
IB2t_IA_fr,IB,"IB_modIA α=0.617, β=0.146, λ=1.1 (fr)",0.460727963,0.135713468
QRE_fr,QRE,QRE λ=0.591 (fr),0.426,0.208
QRE_uf,QRE,QRE λ=0.995 (uf),0.342,0.195
AS_fr,AS,AS N=3 (fr),0.44,0.176
AS_uf,AS,AS N=4 (uf),0.349,0.18
PS_fr,PS,PS N=7 (fr),0.431,0.203
PS_uf,PS,PS N=11 (uf),0.382,0.203
QRE_it,QRE,QRE_it,0.330698001,0.195676405
QRE_it,QRE,QRE_it,0.500747744,0.499248131
QRE_it,QRE,QRE_it,0.501490951,0.49849255
QRE_it,QRE,QRE_it,0.502229585,0.497733294
QRE_it,QRE,QRE_it,0.50296361,0.496970401
QRE_it,QRE,QRE_it,0.503692992,0.496203911
QRE_it,QRE,QRE_it,0.504417695,0.495433862
QRE_it,QRE,QRE_it,0.505137685,0.494660294
QRE_it,QRE,QRE_it,0.505852929,0.493883248
QRE_it,QRE,QRE_it,0.506563397,0.493102761
QRE_it,QRE,QRE_it,0.507269054,0.492318878
QRE_it,QRE,QRE_it,0.507969869,0.491531638
QRE_it,QRE,QRE_it,0.508665811,0.490741084
QRE_it,QRE,QRE_it,0.509356851,0.489947257
QRE_it,QRE,QRE_it,0.510042957,0.4891502
QRE_it,QRE,QRE_it,0.510724103,0.488349955
QRE_it,QRE,QRE_it,0.511400259,0.487546566
QRE_it,QRE,QRE_it,0.512071398,0.486740075
QRE_it,QRE,QRE_it,0.512737492,0.485930528
QRE_it,QRE,QRE_it,0.513398515,0.485117969
QRE_it,QRE,QRE_it,0.514054443,0.484302438
QRE_it,QRE,QRE_it,0.514705249,0.483483985
QRE_it,QRE,QRE_it,0.515350909,0.482662653
QRE_it,QRE,QRE_it,0.5159914,0.481838488
QRE_it,QRE,QRE_it,0.516626698,0.481011535
QRE_it,QRE,QRE_it,0.517256781,0.480181839
QRE_it,QRE,QRE_it,0.517881627,0.479349448
QRE_it,QRE,QRE_it,0.518501216,0.478514407
QRE_it,QRE,QRE_it,0.519115527,0.477676763
QRE_it,QRE,QRE_it,0.519724539,0.476836563
QRE_it,QRE,QRE_it,0.520328235,0.475993854
QRE_it,QRE,QRE_it,0.520926595,0.475148684
QRE_it,QRE,QRE_it,0.521519603,0.474301098
QRE_it,QRE,QRE_it,0.52210724,0.473451145
QRE_it,QRE,QRE_it,0.522689491,0.472598874
QRE_it,QRE,QRE_it,0.52326634,0.471744331
QRE_it,QRE,QRE_it,0.523837772,0.470887566
QRE_it,QRE,QRE_it,0.524403772,0.470028626
QRE_it,QRE,QRE_it,0.524964326,0.469167559
QRE_it,QRE,QRE_it,0.525519423,0.468304415
QRE_it,QRE,QRE_it,0.526069048,0.467439241
QRE_it,QRE,QRE_it,0.526613192,0.466572086
QRE_it,QRE,QRE_it,0.527151841,0.465703
QRE_it,QRE,QRE_it,0.527684987,0.46483203
QRE_it,QRE,QRE_it,0.528212619,0.463959228
QRE_it,QRE,QRE_it,0.528734729,0.463084638
QRE_it,QRE,QRE_it,0.529251307,0.462208313
QRE_it,QRE,QRE_it,0.529762346,0.461330302
QRE_it,QRE,QRE_it,0.530267839,0.460450652
QRE_it,QRE,QRE_it,0.53076778,0.459569413
QRE_it,QRE,QRE_it,0.531262162,0.458686635
QRE_it,QRE,QRE_it,0.53175098,0.457802365
QRE_it,QRE,QRE_it,0.532234229,0.456916655
QRE_it,QRE,QRE_it,0.532711906,0.456029551
QRE_it,QRE,QRE_it,0.533184008,0.455141104
QRE_it,QRE,QRE_it,0.53365053,0.454251363
QRE_it,QRE,QRE_it,0.534111472,0.453360375
QRE_it,QRE,QRE_it,0.534566832,0.452468191
QRE_it,QRE,QRE_it,0.535016607,0.451574861
QRE_it,QRE,QRE_it,0.535460801,0.450680427
QRE_it,QRE,QRE_it,0.53589941,0.449784944
QRE_it,QRE,QRE_it,0.536332437,0.448888459
