framed,player_id,round_nr,participant_code,s1,s1_cum,s1_freq,df
1,1,1,0bmasffv,1,1,1,1.742857143
1,1,1,265l99ai,0,0,0,2.6
1,1,1,3cruabz9,1,1,1,1.4
1,1,1,3fmd8mik,0,0,0,2.828571429
0,1,1,5xdc3466,1,1,1,3.085714286
0,1,1,6i6lsymy,1,1,1,2.342857143
0,1,1,7h7cf7jw,1,1,1,2.485714286
1,1,1,7xjh9hwo,1,1,1,2.485714286
1,1,1,8gckk19h,1,1,1,2.114285714
1,1,1,9smjkz19,0,0,0,1.857142857
0,1,1,bhaakguo,1,1,1,1.8
0,1,1,bollw9mr,1,1,1,2.542857143
0,1,1,buocfmyx,1,1,1,1.485714286
0,1,1,buxstyu5,1,1,1,2.485714286
0,1,1,chdxrfak,1,1,1,2.371428571
0,1,1,crzbb1pp,0,0,0,1.942857143
0,1,1,eze54kxk,1,1,1,2.628571429
1,1,1,g7ab12q3,1,1,1,1.885714286
0,1,1,gauqrm0f,0,0,0,1.685714286
1,1,1,i16qw3id,1,1,1,1.714285714
0,1,1,i8qt3jxw,1,1,1,2.114285714
1,1,1,ipmny9rq,0,0,0,2.257142857
1,1,1,izo49mch,1,1,1,2.2
0,1,1,jiebe12q,1,1,1,3.228571429
0,1,1,k5s3f5ne,1,1,1,1.885714286
0,1,1,kdhmpvys,1,1,1,1.742857143
0,1,1,o4plj56u,0,0,0,1.914285714
0,1,1,ogmameyc,1,1,1,1.628571429
1,1,1,or50tpef,1,1,1,1.8
1,1,1,ouaa8yuq,1,1,1,2.771428571
1,1,1,owlwqap1,0,0,0,2.8
1,1,1,oy8wn5im,0,0,0,2.2
0,1,1,qmwwptcx,1,1,1,1.714285714
1,1,1,r3oyr52t,0,0,0,2.114285714
1,1,1,rj5j60np,1,1,1,2.285714286
0,1,1,s48es8wr,1,1,1,1.828571429
1,1,1,sj2ft9f6,1,1,1,2.171428571
0,1,1,t1tzrcmi,1,1,1,1.8
0,1,1,tcleibkp,1,1,1,2.771428571
1,1,1,u9xqjsvk,1,1,1,3.257142857
0,1,1,ursirs43,0,0,0,2.257142857
1,1,1,uwz2vbjr,0,0,0,2.6
0,1,1,w8d4usex,1,1,1,2.657142857
0,1,1,wh4u3tph,0,0,0,2.4
1,1,1,xtfge1ys,1,1,1,1.771428571
0,1,1,xurwn6zz,1,1,1,2.428571429
0,1,1,ycniewr6,1,1,1,1.742857143
1,1,1,yh9eenkb,1,1,1,2.114285714
1,1,1,z50vt4g0,1,1,1,2.6
1,1,1,zo9j0hsi,0,0,0,2.657142857
0,2,1,0xwx0wrp,0,0,0,2.457142857
0,2,1,17fpqn72,0,0,0,2.485714286
0,2,1,20cc9xq0,0,0,0,1.914285714
1,2,1,2fsj9qvt,0,0,0,2.228571429
1,2,1,3u51j68w,0,0,0,1.514285714
0,2,1,4txwixdq,0,0,0,1.571428571
1,2,1,6fsse8c1,0,0,0,2.514285714
0,2,1,6h8woyh9,0,0,0,1.771428571
