examiner_total_payoff,examiner_strategy,ex_strategy,group_id_sess,round_number,student_total_payoff,player.company_decision,st_strategy,framed,dataset,strat_concat,cell_number,payoff_round_examiner,payoff_round_student
14,Don't Control,0,1,1,14,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
11,Control,1,2,1,10,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
14,Don't Control,0,3,1,14,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
14,Don't Control,0,4,1,14,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
14,Don't Control,0,5,1,14,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
12,Control,1,6,1,2,Cheat,1,1,15,"Control, Cheat",1,12,2
14,Don't Control,0,7,1,14,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
14,Don't Control,0,8,1,14,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
11,Control,1,9,1,10,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
14,Don't Control,0,10,1,14,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
14,Don't Control,0,11,1,14,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
11,Control,1,12,1,10,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
11,Control,1,13,1,10,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
11,Control,1,14,1,10,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
28,Don't Control,0,1,2,28,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
22,Control,1,2,2,20,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
28,Don't Control,0,3,2,28,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
28,Don't Control,0,4,2,28,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
17,Don't Control,0,5,2,30,Cheat,1,1,15,"Don't Control, Cheat",3,3,16
24,Control,1,6,2,4,Cheat,1,1,15,"Control, Cheat",1,12,2
25,Control,1,7,2,24,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
25,Control,1,8,2,24,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
23,Control,1,9,2,12,Cheat,1,1,15,"Control, Cheat",1,12,2
25,Control,1,10,2,24,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
28,Don't Control,0,11,2,28,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
22,Control,1,12,2,20,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
23,Control,1,13,2,12,Cheat,1,1,15,"Control, Cheat",1,12,2
22,Control,1,14,2,20,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
42,Don't Control,0,1,3,42,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
33,Control,1,2,3,30,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
42,Don't Control,0,3,3,42,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
42,Don't Control,0,4,3,42,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
31,Don't Control,0,5,3,44,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
36,Control,1,6,3,6,Cheat,1,1,15,"Control, Cheat",1,12,2
36,Control,1,7,3,34,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
39,Don't Control,0,8,3,38,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
35,Control,1,9,3,14,Cheat,1,1,15,"Control, Cheat",1,12,2
36,Control,1,10,3,34,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
42,Don't Control,0,11,3,42,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
33,Control,1,12,3,30,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
37,Don't Control,0,13,3,26,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
36,Don't Control,0,14,3,34,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
56,Don't Control,0,1,4,56,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
44,Control,1,2,4,40,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
45,Don't Control,0,3,4,58,Cheat,1,1,15,"Don't Control, Cheat",3,3,16
56,Don't Control,0,4,4,56,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
45,Don't Control,0,5,4,58,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
48,Control,1,6,4,8,Cheat,1,1,15,"Control, Cheat",1,12,2
47,Control,1,7,4,44,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
53,Don't Control,0,8,4,52,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
49,Don't Control,0,9,4,28,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
47,Control,1,10,4,44,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
56,Don't Control,0,11,4,56,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
44,Control,1,12,4,40,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
48,Control,1,13,4,36,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
50,Don't Control,0,14,4,48,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
70,Don't Control,0,1,5,70,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
58,Don't Control,0,2,5,54,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
48,Don't Control,0,3,5,74,Cheat,1,1,15,"Don't Control, Cheat",3,3,16
70,Don't Control,0,4,5,70,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
59,Don't Control,0,5,5,72,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
60,Control,1,6,5,10,Cheat,1,1,15,"Control, Cheat",1,12,2
58,Control,1,7,5,54,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
67,Don't Control,0,8,5,66,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
63,Don't Control,0,9,5,42,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
61,Don't Control,0,10,5,58,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
70,Don't Control,0,11,5,70,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
55,Control,1,12,5,50,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
51,Don't Control,0,13,5,52,Cheat,1,1,15,"Don't Control, Cheat",3,3,16
64,Don't Control,0,14,5,62,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
73,Don't Control,0,1,6,86,Cheat,1,1,15,"Don't Control, Cheat",3,3,16
61,Don't Control,0,2,6,70,Cheat,1,1,15,"Don't Control, Cheat",3,3,16
51,Don't Control,0,3,6,90,Cheat,1,1,15,"Don't Control, Cheat",3,3,16
84,Don't Control,0,4,6,84,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
73,Don't Control,0,5,6,86,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
72,Control,1,6,6,12,Cheat,1,1,15,"Control, Cheat",1,12,2
69,Control,1,7,6,64,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
81,Don't Control,0,8,6,80,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
77,Don't Control,0,9,6,56,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
75,Don't Control,0,10,6,72,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
73,Don't Control,0,11,6,86,Cheat,1,1,15,"Don't Control, Cheat",3,3,16
66,Control,1,12,6,60,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
63,Control,1,13,6,54,Cheat,1,1,15,"Control, Cheat",1,12,2
78,Don't Control,0,14,6,76,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
84,Control,1,1,7,96,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
72,Control,1,2,7,80,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
54,Don't Control,0,3,7,106,Cheat,1,1,15,"Don't Control, Cheat",3,3,16
98,Don't Control,0,4,7,98,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
87,Don't Control,0,5,7,100,Don't Cheat,0,1,15,"Don't Control, Don't Cheat",4,14,14
84,Control,1,6,7,14,Cheat,1,1,15,"Control, Cheat",1,12,2
80,Control,1,7,7,74,Don't Cheat,0,1,15,"Control, Don't Cheat",2,11,10
