framed,round,PU,QL,NEIA_alpha,NEIA_beta,NEIA_PU,NEIA_QL,IB_MOD_gamma,IB_MOD_PU,IB_MOD_QL,IB_MODIA_alpha,IB_MODIA_beta,IB_MODIA_PU,IB_MODIA_QL,IB_MODIAFP_alpha,IB_MODIAFP_beta,IB_MODIAFP_PU,IB_MODIAFP_ql,IB_3PAR_alpha,IB_3PAR_beta,IB_3PAR_gamma,IB_3PAR_PU,IB_3PAR_QL,NEIA_ed,IBMOD_ed,IBMODIA_ed,IB_MODIAFP_ed,IB_3PAR_ed
0,1,0.808,0.115,0,0,0.2,0.25,1.8,0.457809836,0.141253439,1,0,0.481553876,0.112420862,1,0,0.478684737,0.060205327,1,0,0.8,0.482964541,0.136019212,0.622423685,0.350837484,0.326151899,0.333602661,0.325382712
0,2,0.654,0.135,0,0,0.2,0.25,1.7,0.458283035,0.148089339,1,0,0.481553876,0.112420862,0.544,0,0.472913062,0.079551001,1,0,0.7,0.483962654,0.151971683,0.468284039,0.196026735,0.173715935,0.189126598,0.17076781
0,3,0.577,0.179,0,0,0.2,0.25,1.3,0.460872967,0.183647236,0.371,0,0.474100782,0.163637125,0,0,0.457001411,0.129315864,1,0,0.5,0.487104831,0.198558715,0.383461946,0.116124649,0.104036765,0.129993719,9.18E-02
0,4,0.567,0.173,0,0,0.2,0.25,1.3,0.460872967,0.183647236,0.411,0,0.474808042,0.159024673,0,0,0.457001411,0.129315864,1,0,0.6,0.485281374,0.172166642,0.375276032,0.10695832,0.093560948,0.118669735,0.082031368
0,5,0.538,0.2,0,0,0.2,0.25,1.1,0.462839343,0.208715199,0.187,0,0.470097238,0.18885449,0,0,0.457001411,0.129315864,1,0,0.5,0.487104831,0.198558715,0.342134787,0.076122737,0.069266874,0.107851747,0.051376928
0,6,0.532,0.212,0,0,0.2,0.25,1,0.464101615,0.224009238,0.116,0,0.468114605,0.200810008,0,0,0.457001411,0.129315864,0.885,0,0.5,0.486555933,0.209107227,0.334271362,0.069084568,0.064830536,0.111324026,4.56E-02
0,7,0.527,0.203,0,0,0.2,0.25,1.1,0.462839343,0.208715199,0.157,0,0.469296031,0.193726768,0,0,0.457001411,0.129315864,0.97,0,0.5,0.48696841,0.201206457,0.330786115,0.064859915,0.058958361,0.102173102,4.06E-02
0,8,0.505,0.188,0,0,0.2,0.25,1.2,0.461777939,0.195379202,0.231,0,0.471186641,0.182138503,0,0,0.457001411,0.129315864,0.837,0,0.6,0.484294604,0.186009381,0.311149448,0.043745188,0.034045862,0.075304942,0.020567176
0,9,0.487,0.192,0,0,0.2,0.25,1.2,0.461777939,0.195379202,0.183,0,0.469993284,0.18948983,0,0,0.457001411,0.129315864,0.773,0,0.6,0.48385175,0.192073785,0.292917156,0.025586575,0.01741568,0.069847596,3.34E-03
0,10,0.485,0.188,0,0,0.2,0.25,1.2,0.461777939,0.195379202,0.204,0,0.470529649,0.186201443,0,0,0.457001411,0.129315864,0.811,0,0.6,0.484118902,0.188426202,0.291192204,0.023862167,0.014265903,6.53E-02,4.98E-04
0,11,0.479,0.196,0,0,0.2,0.25,1.2,0.461777939,0.195379202,0.154,0,0.46921309,0.194227951,0,0.06,0.449641278,0.132696851,0.765,0.033,0.6,0.479021545,0.195852942,0.284235627,0.017248276,0.009933742,0.06961109,4.87E-05
0,12,0.487,0.192,0,0,0.2,0.25,1.2,0.461777939,0.195379202,0.183,0,0.469993284,0.18948983,0,0,0.457001411,0.129315864,0.773,0,0.6,0.48385175,0.192073785,0.292917156,0.025586575,0.01741568,0.069847596,3.34E-03
0,13,0.476,0.186,0,0,0.2,0.25,1.3,0.460872967,0.183647236,0.209,0,0.47065401,0.185435347,0,0.048,0.45112343,0.132009264,0.635,0.034,0.7,0.476318593,0.186354887,0.283558081,0.015699924,0.005757143,0.059939654,3.79E-05
0,14,0.462,0.187,0,0,0.2,0.25,1.3,0.460872967,0.183647236,0.24,0.067,0.461573248,0.186745017,0,0.138,0.437933814,0.138251411,0.137,0.041,1.1,0.461531633,0.186825778,0.269063079,0.003235139,7.65324E-05,0.05399468,1.43E-05
