framed,round,PU,QL,NE_PU,NE_QL,IBT_PU,IBT_QL,AS_N,AS_PU,AS_QL,PS_N,PS_PU,PS_QL,QRE_lambda,QRE_PU,QRE_QL,NE_ed,IBT_ed,AS_ed,PS_ed,QRE_ed
0,1,0.807692308,0.115384615,0.2,0.25,0.473610907,0.137021066,2,0.4751,0.2755,3,0.5329,0.2241,0.296140181,0.523967738,0.276998612,0.622423684,0.334781299,0.36912678,0.295516239,0.326525214
0,2,0.653846154,0.134615385,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.356601699,0.503376906,0.25315661,0.468284039,0.180251301,0.217855233,0.150450884,0.191554213
0,3,0.576923077,0.179487179,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.374046605,0.497235008,0.247535939,0.383461946,0.111699487,0.137075404,0.062676431,0.104789418
0,4,0.567307692,0.173076923,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.39041281,0.491459229,0.242707205,0.375276033,0.100394783,0.127434691,0.061540586,0.102962933
0,5,0.538461538,0.2,0.2,0.25,0.473610907,0.137021066,2,0.4751,0.2755,3,0.5329,0.2241,0.389855841,0.491655704,0.242864824,0.342134788,0.090398842,0.098564368,0.024733393,0.063467939
0,6,0.532051282,0.211538462,0.2,0.25,0.473610907,0.137021066,2,0.4751,0.2755,3,0.5329,0.2241,0.382410424,0.494283185,0.245016642,0.334271363,0.094700157,0.085641853,0.012590178,0.050469969
0,7,0.527472527,0.203296703,0.2,0.25,0.473610907,0.137021066,2,0.4751,0.2755,3,0.5329,0.2241,0.398803417,0.488501797,0.24038772,0.330786115,0.085402191,0.089197521,0.021499642,0.053800198
0,8,0.504807692,0.1875,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.450912932,0.470381992,0.22807949,0.311149448,0.059341067,0.065971574,0.046138246,0.053214884
0,9,0.487179487,0.192307692,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.473394264,0.462779665,0.223743299,0.292917156,0.0569273,0.050111529,0.055687666,0.039793827
0,10,0.484615385,0.188461538,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.48312687,0.459540662,0.222023916,0.291192204,0.05260438,0.046500779,0.055428924,0.041894808
0,11,0.479020979,0.195804196,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.483329543,0.45947357,0.221989071,0.284235627,0.059031562,0.043984426,0.048443479,0.032676427
0,12,0.487179487,0.192307692,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.473394264,0.462779665,0.223743299,0.292917156,0.0569273,0.050111529,0.055687666,0.039793827
0,13,0.476331361,0.186390533,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.50126022,0.453598167,0.219054172,0.283558081,0.049444364,0.037967506,0.048150166,0.039795872
0,14,0.461538462,0.186813187,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.530830322,0.444184634,0.21480422,0.269063079,0.051234747,0.024325418,0.034427976,0.032934075
0,15,0.451282051,0.184615385,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.556896702,0.436189212,0.21159632,0.259649412,0.052571827,0.014458049,0.027233111,0.030915444
0,16,0.447115385,0.180288462,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.572467679,0.431553307,0.209893442,0.256760028,0.050735394,0.008550775,0.027708739,0.033445973
0,17,0.443438914,0.169683258,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.594563797,0.42515756,0.207723046,0.256346024,0.044465357,0.006980337,0.035434457,0.042204661
0,18,0.44017094,0.164529915,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.608754384,0.421163718,0.206468754,0.254925903,0.043300902,0.011173371,0.039427724,0.046044986
0,19,0.435222672,0.16194332,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.624391825,0.416865453,0.205202485,0.251164656,0.045768716,0.014530094,0.04116365,0.046993008
0,20,0.430769231,0.163461538,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.634580338,0.414122649,0.204438618,0.246461646,0.050343895,0.015269279,0.039439849,0.044229286
0,21,0.428571429,0.164835165,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.639091097,0.412922795,0.204115084,0.24392201,0.052935609,0.015696534,0.038148727,0.042282287
0,22,0.43006993,0.160839161,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.639345099,0.412855494,0.204097126,0.246742432,0.049629813,0.017817823,0.04207345,0.046557367
0,23,0.429765886,0.158862876,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.642295157,0.412075894,0.203890575,0.24718078,0.048984186,0.019651692,0.044057328,0.048377985
0,24,0.432692308,0.155448718,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.638081877,0.413190477,0.204186707,0.251168579,0.04487661,0.021495703,0.047477991,0.052494885
0,25,0.429230769,0.149230769,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.653707925,0.409095352,0.203125549,0.250402044,0.04602905,0.028538617,0.053701772,0.057533315
0,26,0.426035503,0.144970414,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.66654677,0.40580925,0.202326779,0.249245386,0.048234958,0.033712486,0.058150546,0.060818204
0,27,0.421652422,0.145299145,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.678399127,0.402837803,0.201644155,0.245136829,0.052613789,0.03545682,0.058370499,0.059403283
0,28,0.417582418,0.144230769,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.691041328,0.399733275,0.200970542,0.241928168,0.056490454,0.038579619,0.060206342,0.059481036
0,29,0.413793103,0.144562334,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.701912755,0.397116484,0.200433731,0.238379094,0.060291296,0.040634029,0.060850735,0.058307141
0,30,0.411538462,0.144871795,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.708433965,0.395569987,0.200129655,0.23622121,0.062566944,0.041889797,0.061236642,0.057518895
0,31,0.41191067,0.141439206,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.710296624,0.395131426,0.200045193,0.238099933,0.061858219,0.044240305,0.064386797,0.060960682
0,32,0.407451923,0.138221154,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.726607343,0.39135051,0.199349197,0.235649763,0.066169867,0.049573598,0.068866426,0.063213077
0,33,0.403263403,0.134032634,0.2,0.25,0.473610907,0.137021066,7,0.381,0.1848,11,0.3821,0.2027,0.74300863,0.387654446,0.198723968,0.234018036,0.070410951,0.055434507,0.071854692,0.066547789
0,34,0.397058824,0.132352941,0.2,0.25,0.473610907,0.137021066,7,0.381,0.1848,11,0.3821,0.2027,0.764275705,0.383015758,0.19801534,0.229506014,0.076694282,0.054850522,0.071919921,0.067147288
0,35,0.392307692,0.131868132,0.2,0.25,0.473610907,0.137021066,7,0.381,0.1848,11,0.3821,0.2027,0.78055072,0.37958003,0.197544391,0.225693125,0.081466345,0.05412621,0.071563612,0.066898164
0,36,0.389957265,0.131410256,0.2,0.25,0.473610907,0.137021066,7,0.381,0.1848,11,0.3821,0.2027,0.788940969,0.377846504,0.197324027,0.223935906,0.083841595,0.054135915,0.071721434,0.067017129
0,37,0.388773389,0.128898129,0.2,0.25,0.473610907,0.137021066,7,0.381,0.1848,11,0.3821,0.2027,0.79463066,0.37668529,0.197182854,0.224278968,0.085225504,0.056439745,0.074102971,0.069346419
0,38,0.384615385,0.12854251,0.2,0.25,0.473610907,0.137021066,7,0.381,0.1848,11,0.3821,0.2027,0.809534386,0.373697623,0.19684328,0.220985887,0.089398484,0.056373541,0.074200138,0.069167859
0,39,0.383629191,0.129191321,0.2,0.25,0.473610907,0.137021066,7,0.381,0.1848,11,0.3821,0.2027,0.812720049,0.373069019,0.196776156,0.219805406,0.090321725,0.055670798,0.073524583,0.068404877
0,40,0.384615385,0.126923077,0.2,0.25,0.473610907,0.137021066,7,0.381,0.1848,11,0.3821,0.2027,0.810458062,0.373515001,0.196823625,0.221880078,0.089566581,0.057989734,0.07581866,0.070776445
0,41,0.383677298,0.125703565,0.2,0.25,0.473610907,0.137021066,7,0.381,0.1848,11,0.3821,0.2027,0.81449788,0.372719727,0.196739506,0.22178132,0.090642925,0.05915705,0.077012589,0.071876097
0,42,0.381868132,0.123626374,0.2,0.25,0.473610907,0.137021066,7,0.381,0.1848,11,0.3821,0.2027,0.82213041,0.371232394,0.196588618,0.221464017,0.092715449,0.061179786,0.079073966,0.073733357
0,43,0.382826476,0.121645796,0.2,0.25,0.473610907,0.137021066,7,0.381,0.1848,11,0.3821,0.2027,0.819735956,0.371696867,0.196634839,0.2233838,0.092077206,0.06318061,0.08105746,0.075810453
